POŘADOVÉ_ČÍSLO;NÁZEV_SPOLEČNOSTI;CELKEM_V_KČ
201971;Epic Internet a.s.;2234676
201972;67821984;2829460
201973;67821984;2513365
201974;ZCZ;2248718
201975;92019399;2295836
201976;Epic Internet a.s.;93195
201977;18581928;1892749
201978;Epic Internet a.s.;1159761
201979;ZCZ;1599432
201980;Epic Internet a.s.;1196997
201981;67821984;1614520
201982;67821984;1369632
201983;ZCZ;414098
201984;18581928;2453074
201985;ZCZ;19946
201986;BlueNet, s.r.o.;2388068
201987;18581928;947713
201988;ZCZ;280464
201989;Big žirafa s.r.o.;286271
201990;Epic Internet a.s.;1970774
201991;GreenStyles.;2469771
201992;Valza;1734634
201993;Big žirafa s.r.o.;2168480
201994;Big žirafa s.r.o.;2732268
201995;Epic Internet a.s.;2827362
201996;Martin Nový;2875989
201997;18581928;2944624
201998;BlueNet, s.r.o.;1483777
201999;ZCZ;1437400
202000;92019399;2655423
202001;Martin Nový;1709806
202002;ZCZ;2478280
202003;Valza;700816
202004;92019399;478853
202005;GreenStyles.;823394
202006;18581928;588513
202007;67821984;2903930
202008;Valza;1515502
202009;Big žirafa s.r.o.;2608467
202010;Big žirafa s.r.o.;2697519
202011;18581928;1339957
202012;Valza;1931542
202013;Big žirafa s.r.o.;1159967
202014;18581928;652576
202015;Valza;937600
202016;Big žirafa s.r.o.;653319
202017;Big žirafa s.r.o.;1671217
202018;BlueNet, s.r.o.;2374600
202019;Big žirafa s.r.o.;250604
202020;67821984;2214051
202021;67821984;990704
202022;92019399;2146119
202023;Valza;2022440
202024;Valza;2090959
202025;67821984;687317
202026;BlueNet, s.r.o.;1091081
202027;Epic Internet a.s.;2012277
202028;Epic Internet a.s.;1531193
202029;GreenStyles.;712914
202030;Big žirafa s.r.o.;86671
202031;92019399;1358246
202032;67821984;2623525
202033;ZCZ;2378136
202034;GreenStyles.;442881
202035;67821984;1325187
202036;Big žirafa s.r.o.;2893539
202037;BlueNet, s.r.o.;854932
202038;GreenStyles.;133371
202039;Epic Internet a.s.;820249
202040;67821984;2640562
202041;92019399;2798487
202042;Epic Internet a.s.;1596307
202043;GreenStyles.;1657772
202044;Valza;2207713
202045;67821984;688679
202046;92019399;1347922
202047;ZCZ;1892528
202048;Martin Nový;1849703
202049;BlueNet, s.r.o.;1245194
202050;GreenStyles.;516677
202051;Epic Internet a.s.;137161
202052;GreenStyles.;1327172
202053;18581928;1795808
202054;Epic Internet a.s.;1019788
202055;Epic Internet a.s.;303652
202056;Epic Internet a.s.;1440322
202057;Epic Internet a.s.;990593
202058;Epic Internet a.s.;1163804
202059;BlueNet, s.r.o.;2823512
202060;92019399;2152380
202061;18581928;1197292
202062;Martin Nový;1472075
202063;Martin Nový;921058
202064;Martin Nový;18660
202065;18581928;988728
202066;Valza;952375
202067;Big žirafa s.r.o.;1862300
202068;Martin Nový;1272705
202069;92019399;824646
202070;Martin Nový;1289231
202071;Big žirafa s.r.o.;2080480
202072;92019399;2888947
202073;Martin Nový;2058416
202074;Big žirafa s.r.o.;556951
202075;ZCZ;805191
202076;GreenStyles.;447702
202077;Epic Internet a.s.;2992828
202078;Martin Nový;5023
202079;ZCZ;234762
202080;Martin Nový;1339834
202081;ZCZ;192510
202082;Epic Internet a.s.;1421659
202083;Valza;1071098
202084;67821984;410301
202085;Epic Internet a.s.;2831954
202086;67821984;771096
202087;Valza;2750310
202088;67821984;1865677
202089;ZCZ;2625411
202090;GreenStyles.;673932
202091;Martin Nový;2799117
202092;67821984;2904761
202093;Martin Nový;1646023
202094;92019399;2159775
202095;ZCZ;287608
202096;GreenStyles.;1094687
202097;GreenStyles.;221697
202098;ZCZ;221660
202099;Big žirafa s.r.o.;175824
202100;18581928;2723827
202101;BlueNet, s.r.o.;705660
202102;GreenStyles.;346455
202103;67821984;2645868
202104;67821984;2803569
202105;GreenStyles.;2164785
202106;67821984;2078059
202107;18581928;1214260
202108;92019399;4072
202109;Epic Internet a.s.;1225805
202110;67821984;705889
202111;Valza;2045221
202112;67821984;1008136
202113;Martin Nový;331845
202114;67821984;831726
202115;92019399;1437686
202116;GreenStyles.;1283739
202117;67821984;2579028
202118;92019399;2488393
202119;Epic Internet a.s.;107315
202120;18581928;1162024
202121;ZCZ;1940071
202122;Epic Internet a.s.;2546981
202123;Epic Internet a.s.;2538410
202124;BlueNet, s.r.o.;2946984
202125;67821984;657353
202126;BlueNet, s.r.o.;2918610
202127;Martin Nový;2544600
202128;67821984;928518
202129;BlueNet, s.r.o.;2826995
202130;92019399;374844
202131;67821984;2917537
202132;Epic Internet a.s.;285976
202133;Big žirafa s.r.o.;902084
202134;18581928;1137792
202135;Valza;1077519
202136;92019399;61306
202137;Epic Internet a.s.;21251
202138;Valza;1466253
202139;67821984;1175052
202140;67821984;2362040
202141;GreenStyles.;621851
202142;Big žirafa s.r.o.;814463
202143;92019399;1765046
202144;67821984;246215
202145;Martin Nový;172725
202146;ZCZ;2129825
202147;ZCZ;2841916
202148;BlueNet, s.r.o.;596850
202149;ZCZ;2581303
202150;Valza;722171
202151;Big žirafa s.r.o.;1118035
202152;92019399;1906757
202153;GreenStyles.;2306785
202154;BlueNet, s.r.o.;2603762
202155;Big žirafa s.r.o.;2353605
202156;67821984;2654247
202157;92019399;1604100
202158;18581928;2598681
202159;Valza;447103
202160;Epic Internet a.s.;2162461
202161;Big žirafa s.r.o.;2632348
202162;GreenStyles.;2245757
202163;67821984;1138378
202164;Martin Nový;74436
202165;Big žirafa s.r.o.;913992
202166;Valza;1385846
202167;ZCZ;2835260
202168;92019399;103744
202169;Valza;2526275
202170;Big žirafa s.r.o.;1144077
202171;Valza;2772117
202172;Epic Internet a.s.;2488955
202173;92019399;1473914
202174;Martin Nový;177664
202175;67821984;180451
202176;Valza;1816803
202177;ZCZ;2151835
202178;ZCZ;2765200
202179;Valza;2615164
202180;GreenStyles.;2490395
202181;Valza;1477056
202182;Big žirafa s.r.o.;1041625
202183;Big žirafa s.r.o.;1679953
202184;ZCZ;2938159
202185;18581928;1446167
202186;Valza;198801
202187;18581928;2265560
202188;18581928;2041438
202189;Valza;763680
202190;Valza;2546771
202191;92019399;848070
202192;Martin Nový;2129713
202193;BlueNet, s.r.o.;1230401
202194;Big žirafa s.r.o.;108305
202195;Valza;2421730
202196;92019399;2563883
202197;Valza;1511566
202198;18581928;2575180
202199;67821984;883160
202200;BlueNet, s.r.o.;1351063
202201;Big žirafa s.r.o.;356707
202202;Big žirafa s.r.o.;1497178
202203;92019399;2068243
202204;Valza;802517
202205;Big žirafa s.r.o.;2816373
202206;ZCZ;108821
202207;BlueNet, s.r.o.;1836652
202208;18581928;603453
202209;ZCZ;805515
202210;92019399;1452656
202211;Martin Nový;1259968
202212;Martin Nový;80014
202213;ZCZ;850917
202214;Martin Nový;1164879
202215;Epic Internet a.s.;981917
202216;BlueNet, s.r.o.;1912906
202217;92019399;947512
202218;67821984;1411047
202219;Valza;1212866
202220;Martin Nový;1715684
202221;BlueNet, s.r.o.;2214116
202222;Valza;1562028
202223;ZCZ;430105
202224;Big žirafa s.r.o.;1879553
202225;92019399;19173
202226;Martin Nový;1617016
202227;Valza;2882323
202228;BlueNet, s.r.o.;2853520
202229;Epic Internet a.s.;1020471
202230;18581928;1307451
202231;ZCZ;503324
202232;Epic Internet a.s.;1815544
202233;GreenStyles.;2243035
202234;ZCZ;694295
202235;BlueNet, s.r.o.;1542389
202236;Epic Internet a.s.;667807
202237;67821984;89048
202238;GreenStyles.;35426
202239;ZCZ;2097020
202240;ZCZ;1679880
202241;GreenStyles.;20420
202242;18581928;361116
202243;Valza;247174
202244;BlueNet, s.r.o.;847102
202245;Epic Internet a.s.;2350901
202246;Epic Internet a.s.;2929480
202247;Big žirafa s.r.o.;182911
202248;Martin Nový;52690
202249;Valza;1475953
202250;Big žirafa s.r.o.;2072450
202251;BlueNet, s.r.o.;1491016
202252;Big žirafa s.r.o.;311209
202253;18581928;2541225
202254;Big žirafa s.r.o.;956789
202255;Big žirafa s.r.o.;636824
202256;18581928;416373
202257;GreenStyles.;529835
202258;Big žirafa s.r.o.;2881794
202259;92019399;259370
202260;67821984;1086301
202261;Big žirafa s.r.o.;2618763
202262;GreenStyles.;1459033
202263;ZCZ;1306012
202264;BlueNet, s.r.o.;2471583
202265;67821984;622087
202266;67821984;1109842
202267;BlueNet, s.r.o.;355012
202268;Big žirafa s.r.o.;2233692
202269;Valza;1561152
202270;GreenStyles.;2965103
202271;Epic Internet a.s.;1403316
202272;GreenStyles.;923308
202273;GreenStyles.;1550803
202274;18581928;2054919
202275;Big žirafa s.r.o.;210310
202276;Valza;482976
202277;Epic Internet a.s.;489765
202278;BlueNet, s.r.o.;-2829
202279;Martin Nový;2970672
202280;GreenStyles.;440051
202281;92019399;268013
202282;67821984;436207
202283;Epic Internet a.s.;2537377
202284;Epic Internet a.s.;2887099
202285;18581928;935211
202286;67821984;2774943
202287;BlueNet, s.r.o.;1638412
202288;Valza;2881533
202289;ZCZ;1580950
202290;BlueNet, s.r.o.;1494592
202291;Martin Nový;797209
202292;Martin Nový;2014927
202293;Valza;2924109
202294;92019399;283003
202295;Valza;2046951
202296;92019399;2362160
202297;Valza;1389307
202298;Martin Nový;1149717
202299;Big žirafa s.r.o.;1002250
202300;67821984;2540246
202301;18581928;715081
202302;ZCZ;2608076
202303;Martin Nový;2272326
202304;GreenStyles.;2249182
202305;Big žirafa s.r.o.;2486365
202306;67821984;482418
202307;67821984;1038077
202308;BlueNet, s.r.o.;1819044
202309;GreenStyles.;825049
202310;ZCZ;505087
202311;Martin Nový;147915
202312;ZCZ;1511605
202313;Big žirafa s.r.o.;397529
202314;92019399;2951954
202315;18581928;2353973
202316;Valza;226814
202317;67821984;1546343
202318;18581928;719843
202319;Epic Internet a.s.;2397020
202320;Epic Internet a.s.;301960
202321;BlueNet, s.r.o.;1122084
202322;Valza;2555395
202323;92019399;915559
202324;67821984;179937
202325;GreenStyles.;1403482
202326;GreenStyles.;2123752
202327;Valza;56247
202328;Valza;1616126
202329;18581928;501796
202330;Epic Internet a.s.;2042835
202331;Martin Nový;350985
202332;GreenStyles.;2213090
202333;92019399;556703
202334;67821984;305467
202335;Martin Nový;1171260
202336;67821984;2590138
202337;Valza;1008145
202338;GreenStyles.;1144547
202339;Epic Internet a.s.;2620017
202340;ZCZ;1771885
202341;ZCZ;124537
202342;Martin Nový;127206
202343;Epic Internet a.s.;1337224
202344;BlueNet, s.r.o.;2501085
202345;18581928;209128
202346;92019399;752151
202347;Big žirafa s.r.o.;963300
202348;Martin Nový;1412452
202349;Valza;1936662
202350;Big žirafa s.r.o.;685637
202351;Epic Internet a.s.;1565510
202352;Valza;893092
202353;67821984;1317763
202354;GreenStyles.;462059
202355;BlueNet, s.r.o.;1241676
202356;BlueNet, s.r.o.;234542
202357;BlueNet, s.r.o.;886473
202358;18581928;523263
202359;67821984;1030308
202360;ZCZ;602744
202361;18581928;2401000
202362;67821984;1886202
202363;18581928;1211083
202364;Martin Nový;1302969
202365;ZCZ;1315129
202366;Valza;2057117
202367;67821984;1067912
202368;GreenStyles.;2802614
202369;BlueNet, s.r.o.;80606
202370;Epic Internet a.s.;1469996
202371;67821984;2515073
202372;92019399;2942340
202373;Martin Nový;1412673
202374;Valza;1744993
202375;ZCZ;1853645
202376;Big žirafa s.r.o.;2538886
202377;Big žirafa s.r.o.;822450
202378;Epic Internet a.s.;354963
202379;Martin Nový;2457123
202380;Big žirafa s.r.o.;694638
202381;GreenStyles.;1086134
202382;92019399;2853017
202383;Big žirafa s.r.o.;2125108
202384;Big žirafa s.r.o.;2388738
202385;92019399;2143251
202386;Big žirafa s.r.o.;706037
202387;92019399;1416368
202388;92019399;369704
202389;Martin Nový;807803
202390;67821984;902853
202391;92019399;2695619
202392;ZCZ;1924561
202393;Valza;616788
202394;ZCZ;858306
202395;Epic Internet a.s.;2349193
202396;GreenStyles.;1536186
202397;Big žirafa s.r.o.;2690439
202398;BlueNet, s.r.o.;1978928
202399;Martin Nový;2189834
202400;Martin Nový;2139478
202401;GreenStyles.;1247843
202402;18581928;2109460
202403;Valza;1196251
202404;BlueNet, s.r.o.;2131148
202405;GreenStyles.;225260
202406;ZCZ;2186673
202407;ZCZ;-6810
202408;BlueNet, s.r.o.;2798490
202409;18581928;492203
202410;Big žirafa s.r.o.;502402
202411;Martin Nový;475249
202412;Epic Internet a.s.;2761371
202413;ZCZ;1035516
202414;67821984;2843970
202415;ZCZ;348068
202416;Martin Nový;703747
202417;ZCZ;970094
202418;18581928;755053
202419;Big žirafa s.r.o.;2467897
202420;92019399;2923564
202421;18581928;1194802
202422;BlueNet, s.r.o.;2052693
202423;Martin Nový;2883971
202424;67821984;2512690
202425;Epic Internet a.s.;2789893
202426;Epic Internet a.s.;2945946
202427;67821984;225704
202428;67821984;1024951
202429;Epic Internet a.s.;918381
202430;18581928;2611649
202431;Epic Internet a.s.;1068644
202432;Martin Nový;2875561
202433;GreenStyles.;987993
202434;18581928;2504023
202435;18581928;2667956
202436;18581928;1010254
202437;67821984;775223
202438;67821984;641122
202439;ZCZ;1277508
202440;BlueNet, s.r.o.;2853424
202441;Valza;2469996
202442;18581928;876743
202443;67821984;579380
202444;92019399;2462941
202445;ZCZ;891764
202446;Valza;1293819
202447;Martin Nový;1207954
202448;67821984;1410641
202449;92019399;2738313
202450;18581928;584014
202451;ZCZ;699468
202452;BlueNet, s.r.o.;2393637
202453;Big žirafa s.r.o.;2624325
202454;Martin Nový;2770032
202455;Valza;1347066
202456;18581928;429573
202457;BlueNet, s.r.o.;2290421
202458;92019399;2496008
202459;Valza;681322
202460;BlueNet, s.r.o.;230748
202461;18581928;2804253
202462;Valza;2727868
202463;Epic Internet a.s.;413593
202464;BlueNet, s.r.o.;335852
202465;BlueNet, s.r.o.;157607
202466;Epic Internet a.s.;1939354
202467;18581928;1696689
202468;Martin Nový;1666474
202469;92019399;1464541
202470;ZCZ;1806929
202471;Epic Internet a.s.;554788
202472;Big žirafa s.r.o.;644712
202473;18581928;2781931
202474;Big žirafa s.r.o.;109850
202475;Epic Internet a.s.;1699688
202476;67821984;1329870
202477;Epic Internet a.s.;2474136
202478;GreenStyles.;218667
202479;Valza;987811
202480;92019399;582640
202482;Valza;2052219
202483;Valza;67780
202484;Valza;2288280
202485;Martin Nový;479882
202486;GreenStyles.;2666443
202487;Martin Nový;2696995
202488;67821984;990444
202489;Big žirafa s.r.o.;1152794
202490;Martin Nový;41143
202491;Valza;2076586
202492;Epic Internet a.s.;2951888
202493;Big žirafa s.r.o.;1228441
202494;Valza;2533719
202495;ZCZ;2071889
202496;Valza;2704246
202497;BlueNet, s.r.o.;496242
202498;92019399;378848
202499;ZCZ;2163819
202500;Valza;2311054
202501;Valza;2883517
202502;Epic Internet a.s.;479618
202503;67821984;749053
202504;92019399;154897
202505;ZCZ;2967288
202506;67821984;457453
202507;Valza;479739
202508;GreenStyles.;1030290
202509;Big žirafa s.r.o.;1219054
202510;67821984;41132
202511;92019399;82417
202512;92019399;2056504
202513;ZCZ;869076
202514;Valza;2559937
202515;ZCZ;2795231
202516;92019399;2300936
202517;18581928;2325361
202518;Big žirafa s.r.o.;2490937
202519;67821984;2382696
202520;Epic Internet a.s.;287784
202521;GreenStyles.;307893
202522;GreenStyles.;21826
202523;67821984;1574158
202524;Epic Internet a.s.;480849
202525;18581928;925019
202526;67821984;2909239
202527;Big žirafa s.r.o.;2921692
202528;BlueNet, s.r.o.;313559
202529;67821984;190593
202530;Epic Internet a.s.;1990994
202531;GreenStyles.;966549
202532;Martin Nový;2980389
202533;Big žirafa s.r.o.;26099
202534;GreenStyles.;135097
202535;Valza;942848
202536;ZCZ;2138781
202537;Big žirafa s.r.o.;834528
202538;Big žirafa s.r.o.;2112205
202539;Valza;1257962
202540;Epic Internet a.s.;2800338
202541;GreenStyles.;410080
202542;67821984;2921102
202543;18581928;460435
202544;Big žirafa s.r.o.;149553
202545;67821984;2172594
202546;ZCZ;1519017
202547;ZCZ;143419
202548;92019399;-2914
202549;Epic Internet a.s.;671373
202550;ZCZ;1713390
202551;Epic Internet a.s.;2979957
202552;92019399;1405028
202553;Big žirafa s.r.o.;2675677
202554;67821984;2060596
202555;GreenStyles.;1769375
202556;BlueNet, s.r.o.;712403
202557;18581928;1148405
202558;Valza;1618818
202559;18581928;1034581
202560;Epic Internet a.s.;885603
202561;Epic Internet a.s.;1054939
202562;Big žirafa s.r.o.;203057
202563;Epic Internet a.s.;2959730
202564;67821984;1103565
202565;67821984;2915722
202566;Big žirafa s.r.o.;270045
202567;67821984;1675916
202568;18581928;2317481
202569;Martin Nový;1944279
202570;18581928;2807503
202571;67821984;813366
202572;92019399;25840
202573;Big žirafa s.r.o.;1068349
202574;18581928;2263649
202575;Big žirafa s.r.o.;2583483
202576;BlueNet, s.r.o.;1290637
202577;Epic Internet a.s.;1843671
202578;GreenStyles.;913716
202579;18581928;2035304
202580;Martin Nový;2764784
202581;92019399;2799541
202582;67821984;2239603
202583;Valza;1178956
202584;Valza;1386464
202585;Big žirafa s.r.o.;1472457
202586;BlueNet, s.r.o.;2926106
202587;GreenStyles.;886105
202588;67821984;1500207
202589;BlueNet, s.r.o.;1159759
202590;Big žirafa s.r.o.;287414
202591;67821984;2192724
202592;67821984;1072066
202593;92019399;1330469
202594;Epic Internet a.s.;2219703
202595;Martin Nový;2557828
202596;67821984;1418709
202597;Big žirafa s.r.o.;2835937
202598;Epic Internet a.s.;459863
202599;GreenStyles.;101490
202600;Martin Nový;290022
202601;Martin Nový;2217001
202602;Big žirafa s.r.o.;69298
202603;Valza;1192089
202604;GreenStyles.;2304449
202605;ZCZ;1344748
202606;ZCZ;1886035
202607;GreenStyles.;809354
202608;ZCZ;1331733
202609;18581928;2235489
202610;67821984;1594504
202611;ZCZ;2162600
202612;Epic Internet a.s.;1008521
202613;67821984;355304
202614;18581928;1205015
202615;Epic Internet a.s.;2278088
202616;Big žirafa s.r.o.;2549103
202617;92019399;402714
202618;GreenStyles.;1060528
202619;Epic Internet a.s.;2127716
202620;BlueNet, s.r.o.;1939386
202621;Big žirafa s.r.o.;171436
202622;GreenStyles.;1949470
202623;92019399;2707990
202624;BlueNet, s.r.o.;2618649
202625;67821984;1256205
202626;GreenStyles.;2601709
202627;BlueNet, s.r.o.;1565749
202628;67821984;2099975
202629;18581928;2514490
202630;ZCZ;2320927
202631;92019399;1784086
202632;ZCZ;2740056
202633;Epic Internet a.s.;54594
202634;BlueNet, s.r.o.;2459394
202635;67821984;75898
202636;BlueNet, s.r.o.;549955
202637;Big žirafa s.r.o.;2036100
202638;GreenStyles.;2815140
202639;Martin Nový;137400
202640;Epic Internet a.s.;645190
202641;Valza;1638891
202642;BlueNet, s.r.o.;1871303
202643;Epic Internet a.s.;2905765
202644;18581928;161443
202645;67821984;2800300
202646;GreenStyles.;237183
202647;ZCZ;1725925
202648;Valza;2136999
202649;BlueNet, s.r.o.;1899087
202650;Valza;211767
202651;Valza;217185
202652;ZCZ;2492544
202653;BlueNet, s.r.o.;2155588
202654;ZCZ;577584
202655;92019399;788399
202656;GreenStyles.;2029225
202657;Big žirafa s.r.o.;1998791
202658;92019399;1024280
202659;ZCZ;2716930
202660;Valza;736184
202661;92019399;1276553
202662;92019399;1428816
202663;Big žirafa s.r.o.;2996773
202664;92019399;695811
202665;18581928;2097431
202666;ZCZ;977922
202667;Valza;2188434
202668;BlueNet, s.r.o.;1142669
202669;Epic Internet a.s.;2601176
202670;BlueNet, s.r.o.;691279
202671;18581928;2753583
202672;Big žirafa s.r.o.;527552
202673;Epic Internet a.s.;1000017
202674;ZCZ;1173708
202675;18581928;2108462
202676;BlueNet, s.r.o.;553520
202677;18581928;2909589
202678;Valza;2909704
202679;Epic Internet a.s.;769278
202680;67821984;215122
202681;Epic Internet a.s.;2000955
202682;92019399;560007
202683;GreenStyles.;1313535
202684;Martin Nový;2506943
202685;GreenStyles.;1496746
202686;Martin Nový;2468614
202687;ZCZ;1228578
202688;ZCZ;1322526
202689;92019399;1946697
202690;Valza;2326288
202691;Martin Nový;2850100
202692;18581928;576931
202693;67821984;2925756
202694;ZCZ;1873294
202695;18581928;1184190
202696;Epic Internet a.s.;1992149
202697;ZCZ;2307426
202698;ZCZ;786994
202699;Valza;1928843
202700;Big žirafa s.r.o.;1280016
202701;Valza;2716912
202702;92019399;550129
202703;Valza;903805
202704;92019399;2362558
202705;BlueNet, s.r.o.;73393
202706;Martin Nový;2569064
202707;18581928;1571322
202708;Big žirafa s.r.o.;1300348
202709;Martin Nový;1725350
202710;92019399;1103939
202711;Big žirafa s.r.o.;1159959
202712;ZCZ;2113819
202713;Big žirafa s.r.o.;1433742
202714;Epic Internet a.s.;2856253
202715;Valza;1792740
202716;Big žirafa s.r.o.;834880
202717;67821984;1677139
202718;Big žirafa s.r.o.;488270
202719;92019399;458004
202720;Martin Nový;1941917
202721;Valza;2631740
202722;GreenStyles.;505225
202723;GreenStyles.;2228205
202724;Big žirafa s.r.o.;1956362
202725;Valza;441364
202726;ZCZ;2355588
202727;Epic Internet a.s.;1647808
202728;Big žirafa s.r.o.;2503977
202729;BlueNet, s.r.o.;1353197
202730;67821984;1889925
202731;67821984;2222028
202732;92019399;511310
202733;18581928;1702226
202734;GreenStyles.;1591747
202735;Valza;1318280
202736;GreenStyles.;2009641
202737;67821984;2773568
202738;Epic Internet a.s.;536214
202739;Valza;149501
202740;Valza;467500
202741;67821984;2855372
202742;Martin Nový;1334360
202743;18581928;1576450
202744;67821984;418852
202745;92019399;2543460
202746;67821984;506048
202747;67821984;1591652
202748;GreenStyles.;2259817
202749;67821984;2765915
202750;ZCZ;2420611
202751;Epic Internet a.s.;2625019
202752;Epic Internet a.s.;409110
202753;Martin Nový;2581661
202754;Big žirafa s.r.o.;2066967
202755;Epic Internet a.s.;2920546
202756;Martin Nový;2192538
202757;ZCZ;1039963
202758;Martin Nový;527473
202759;ZCZ;1096675
202760;18581928;2014942
202761;ZCZ;71559
202762;Martin Nový;2408626
202763;18581928;2364521
202764;Big žirafa s.r.o.;916448
202765;Epic Internet a.s.;1322124
202766;67821984;2517227
202767;GreenStyles.;547828
202768;67821984;2001125
202769;Martin Nový;2443225
202770;Epic Internet a.s.;960273
202771;Martin Nový;2412334
202772;18581928;1643293
202773;Martin Nový;676474
202774;ZCZ;1531368
202776;Epic Internet a.s.;1881754
202777;GreenStyles.;2194069
202778;GreenStyles.;127589
202779;92019399;2975444
202780;92019399;1651221
202781;67821984;1549768
202782;Valza;139523
202783;BlueNet, s.r.o.;2002682
202784;18581928;1283275
202785;18581928;214476
202786;92019399;1250080
202787;92019399;365653
202788;67821984;259746
202789;Big žirafa s.r.o.;2770950
202790;67821984;598656
202791;18581928;750686
202792;ZCZ;2066294
202793;ZCZ;2820867
202794;BlueNet, s.r.o.;843421
202795;ZCZ;-11004
202796;ZCZ;1854718
202797;92019399;1818189
202798;BlueNet, s.r.o.;320490
202799;BlueNet, s.r.o.;1735565
202800;GreenStyles.;1486941
202801;ZCZ;2096880
202802;18581928;419723
202803;Big žirafa s.r.o.;354479
202804;92019399;2777407
202805;Epic Internet a.s.;1632658
202806;18581928;1132535
202807;BlueNet, s.r.o.;584125
202808;Epic Internet a.s.;1720398
202809;67821984;838002
202810;Big žirafa s.r.o.;1133549
202811;Big žirafa s.r.o.;1110506
202812;Martin Nový;2886751
202813;67821984;605559
202814;GreenStyles.;1051846
202815;GreenStyles.;2593797
202816;BlueNet, s.r.o.;2339942
202817;18581928;2742797
202818;ZCZ;118949
202819;Big žirafa s.r.o.;344368
202820;GreenStyles.;988312
202821;BlueNet, s.r.o.;2395919
202822;67821984;922067
202823;BlueNet, s.r.o.;2891355
202824;Martin Nový;489666
202825;GreenStyles.;1670341
202826;Big žirafa s.r.o.;161223
202827;Valza;775224
202828;GreenStyles.;1511705
202829;Martin Nový;2194238
202830;BlueNet, s.r.o.;1995355
202831;Martin Nový;1396988
202832;Martin Nový;980996
202833;ZCZ;965512
202834;67821984;1292023
202835;Big žirafa s.r.o.;1135838
202836;Valza;1561541
202837;92019399;1555068
202838;BlueNet, s.r.o.;2643019
202839;Valza;1231619
202840;ZCZ;1035470
202841;92019399;1749412
202842;Big žirafa s.r.o.;436003
202843;67821984;1887192
202844;Big žirafa s.r.o.;556575
202845;GreenStyles.;2435578
202846;GreenStyles.;2478061
202847;Epic Internet a.s.;8061
202848;Valza;2833177
202849;92019399;2810042
202850;GreenStyles.;2619094
202851;BlueNet, s.r.o.;1362051
202852;Valza;1401854
202853;ZCZ;1052206
202854;Big žirafa s.r.o.;2083446
202855;92019399;700257
202856;GreenStyles.;892240
202857;Epic Internet a.s.;1692484
202858;18581928;373870
202859;67821984;767300
202860;Valza;2742001
202861;18581928;730424
202862;18581928;107938
202863;18581928;834998
202864;Epic Internet a.s.;1712010
202865;Martin Nový;755408
202866;GreenStyles.;1931195
202867;Martin Nový;2239482
202868;GreenStyles.;2906790
202869;ZCZ;622974
202870;ZCZ;769852
202871;67821984;2978211
202872;Valza;349976
202873;BlueNet, s.r.o.;2956983
202874;BlueNet, s.r.o.;1518425
202875;BlueNet, s.r.o.;2729098
202876;Valza;250092
202877;67821984;1990588
202878;Valza;2602530
202879;Martin Nový;1460237
202880;Martin Nový;1900236
202881;Valza;242774
202882;Epic Internet a.s.;312563
202883;18581928;887038
202884;Martin Nový;1463185
202885;18581928;254835
202886;BlueNet, s.r.o.;2694214
202887;18581928;2451635
202888;Big žirafa s.r.o.;2037988
202889;ZCZ;751747
202890;Valza;1228829
202891;Big žirafa s.r.o.;354687
202892;Epic Internet a.s.;2143700
202893;GreenStyles.;1555543
202894;ZCZ;460009
202895;Epic Internet a.s.;1782292
202896;92019399;4498
202897;67821984;632190
202898;92019399;2923620
202899;ZCZ;2370191
202900;67821984;377923
202901;GreenStyles.;1265415
202902;92019399;591854
202903;Big žirafa s.r.o.;166173
202904;67821984;205382
202905;ZCZ;2704641
202906;ZCZ;383799
202907;Valza;2932030
202908;67821984;390046
202909;67821984;184085
202910;Martin Nový;2528244
202911;92019399;1226095
202912;GreenStyles.;494893
202913;Epic Internet a.s.;2750106
202914;92019399;546815
202915;BlueNet, s.r.o.;2340610
202916;Martin Nový;2459147
202917;BlueNet, s.r.o.;1204723
202918;GreenStyles.;211278
202919;BlueNet, s.r.o.;820879
202920;BlueNet, s.r.o.;1714645
202921;Martin Nový;1796599
202922;Martin Nový;2442367
202923;Valza;1792123
202924;Valza;1913781
202925;18581928;1670026
202926;BlueNet, s.r.o.;2252559
202927;GreenStyles.;1498783
202928;18581928;231380
202929;Big žirafa s.r.o.;1237340
202930;BlueNet, s.r.o.;2377257
202931;Big žirafa s.r.o.;158475
202932;ZCZ;2276546
202933;92019399;1269830
202934;Epic Internet a.s.;474312
202935;GreenStyles.;1690210
202936;Big žirafa s.r.o.;1659891
202937;92019399;1519325
202938;BlueNet, s.r.o.;2912296
202939;Big žirafa s.r.o.;494788
202940;BlueNet, s.r.o.;114336
202941;18581928;1952828
202942;ZCZ;735645
202943;GreenStyles.;91881
202944;Epic Internet a.s.;2267888
202945;Big žirafa s.r.o.;110891
202946;ZCZ;1266077
202947;Martin Nový;111959
202948;ZCZ;-7494
202949;Big žirafa s.r.o.;2551921
202950;GreenStyles.;276391
202951;92019399;1113047
202952;Martin Nový;198599
202953;Epic Internet a.s.;787189
202954;67821984;2142122
202955;18581928;118573
202956;92019399;2092995
202957;92019399;1029586
202958;92019399;993878
202959;GreenStyles.;2114451
202960;ZCZ;889258
202961;67821984;2282244
202962;Valza;1573161
202963;92019399;2584814
202964;BlueNet, s.r.o.;656246
202965;18581928;1921301
202966;Valza;289325
202967;Epic Internet a.s.;618098
202968;92019399;1624236
202969;Big žirafa s.r.o.;1618219
